iter	Passed	Remaining
757	74034	23636
758	74138	23540
759	74242	23444
760	74344	23348
761	74448	23252
762	74554	23157
763	74671	23066
764	74785	22973
765	74890	22877
766	74997	22782
767	75100	22686
768	75208	22591
769	75316	22497
770	75425	22402
771	75531	22307
772	75636	22211
773	75744	22116
774	75847	22020
775	75951	21924
776	76056	21828
777	76162	21732
778	76268	21637
779	76382	21543
780	76505	21452
781	76608	21356
782	76716	21261
783	76824	21165
784	76935	21071
785	77042	20975
786	77147	20879
787	77250	20783
788	77355	20686
789	77459	20590
790	77562	20493
791	77672	20398
792	77777	20302
793	77882	20206
794	77987	20109
795	78092	20013
796	78199	19917
797	78306	19821
798	78417	19727
799	78533	19633
800	78638	19536
801	78743	19440
802	78849	19344
803	78964	19250
804	79072	19154
805	79176	19057
806	79287	18962
807	79395	18866
808	79503	18770
809	79613	18674
810	79725	18579
811	79835	18484
812	79971	18394
813	80084	18299
814	80214	18208
815	80319	18111
816	80428	18015
817	80537	17919
818	80642	17822
819	80762	17728
820	80884	17634
821	81005	17541
822	81109	17443
823	81216	17347
824	81321	17250
825	81428	17153
826	81537	17056
827	81647	16960
828	81754	16863
829	81857	16765
830	81961	16668
831	82067	16571
832	82172	16473
833	82275	16376
834	82378	16278
835	82490	16182
836	82607	16087
837	82713	15989
838	82818	15892
839	82925	15795
840	83032	15698
841	83137	15600
842	83243	15503
843	83353	15406
844	83459	15309
845	83566	15211
846	83671	15114
847	83777	15016
848	83882	14918
849	83986	14821
850	84092	14723
851	84198	14625
852	84300	14527
853	84401	14429
854	84520	14333
855	84632	14237
856	84737	14139
857	84842	14041
858	84975	13948
859	85080	13850
860	85184	13752
861	85294	13654
862	85400	13557
863	85508	13459
864	85611	13361
865	85717	13263
866	85824	13165
867	85926	13067
868	86031	12969
869	86135	12870
870	86238	12772
871	86345	12674
872	86454	12577
873	86573	12480
874	86684	12383
875	86788	12285
876	86896	12187
877	87003	12089
878	87107	11990
879	87212	11892
880	87321	11794
881	87427	11696
882	87531	11598
883	87633	11499
884	87739	11401
885	87844	11302
886	87948	11204
887	88054	11105
888	88161	11007
889	88265	10909
890	88367	10810
891	88483	10713
892	88596	10615
893	88704	10517
894	88809	10419
895	88916	10320
896	89021	10222
897	89158	10127
898	89262	10028
899	89369	9929
900	89478	9831
901	89580	9732
902	89692	9634
903	89796	9535
904	89904	9437
905	90010	9338
906	90116	9240
907	90223	9141
908	90323	9042
909	90427	8943
910	90546	8845
911	90660	8747
912	90767	8649
913	90875	8550
914	90980	8451
915	91087	8353
916	91191	8253
917	91301	8155
918	91405	8056
919	91510	7957
920	91616	7858
921	91721	7759
922	91822	7660
923	91928	7561
924	92031	7461
925	92162	7365
926	92264	7265
927	92380	7167
928	92491	7068
929	92602	6970
930	92725	6872
931	92831	6773
932	92940	6674
933	93043	6574
934	93145	6475
935	93248	6375
936	93351	6276
937	93453	6177
938	93558	6077
939	93666	5978
940	93768	5879
941	93871	5779
942	93972	5680
943	94075	5580
944	94178	5481
945	94288	5382
946	94389	5282
947	94508	5183
948	94624	5085
949	94728	4985
950	94832	4886
951	94935	4786
952	95040	4687
953	95144	4587
954	95251	4488
955	95369	4389
956	95475	4289
957	95578	4190
958	95682	4090
959	95785	3991
960	95891	3891
961	95996	3791
962	96102	3692
963	96206	3592
964	96310	3493
965	96409	3393
966	96532	3294
967	96641	3194
968	96744	3095
969	96849	2995
970	96954	2895
971	97057	2795
972	97162	2696
973	97264	2596
974	97370	2496
975	97480	2397
976	97586	2297
977	97750	2198
978	97892	2099
979	98005	2000
980	98108	1900
981	98216	1800
982	98329	1700
983	98436	1600
984	98549	1500
985	98656	1400
986	98762	1300
987	98869	1200
988	98970	1100
989	99077	1000
990	99186	900
991	99294	800
992	99396	700
993	99507	600
994	99610	500
995	99787	400
996	99898	300
997	100006	200
998	100115	100
999	100227	0
