iter	R2	MAE
643	0.9333890469	0.1124692805
644	0.9334175493	0.1124088169
645	0.9335807836	0.1122374615
646	0.9336231861	0.1121487452
647	0.9337338269	0.1119752438
648	0.9337779431	0.1118986658
649	0.9338621775	0.1117992903
650	0.9339158844	0.1117373329
651	0.9339522441	0.1116766491
652	0.9339856919	0.1116088311
653	0.9341507198	0.111420489
654	0.9341894203	0.111341198
655	0.9342716154	0.1112528544
656	0.9343244892	0.1111801923
657	0.9344044286	0.1110551521
658	0.9344405975	0.1109754688
659	0.9344974981	0.1108752446
660	0.9345187027	0.1108321476
661	0.9345424086	0.1107681488
662	0.9345759443	0.1107059828
663	0.9346546248	0.1106234027
664	0.9347146023	0.1105348744
665	0.9347206129	0.1105095468
666	0.9348369375	0.1103216051
667	0.9349082797	0.1102229421
668	0.9349365681	0.1101631541
669	0.9349777578	0.1100885677
670	0.9350671865	0.1099702816
671	0.9351196602	0.1098818159
672	0.9351883716	0.1097645078
673	0.9352746677	0.1096511791
674	0.935339545	0.1095316296
675	0.9353559934	0.1094823397
676	0.9354158796	0.1093869646
677	0.9355247057	0.109235648
678	0.9356498754	0.1091165845
679	0.9357689416	0.1090001575
680	0.9358566745	0.1089102706
681	0.9359145831	0.1088027605
682	0.9359646919	0.1087048875
683	0.9361930541	0.1085436946
684	0.9363157283	0.1083983652
685	0.9363649811	0.1083104172
686	0.936426117	0.1082463663
687	0.9364653529	0.1081678365
688	0.9365386603	0.1080709028
689	0.9366252978	0.1079379614
690	0.9367051795	0.1078226361
691	0.9367477858	0.1077421321
692	0.936850122	0.1076169286
693	0.9368954341	0.1075223303
694	0.9370087747	0.1074237145
695	0.9370779355	0.107325436
696	0.9371815842	0.1072167655
697	0.9373132745	0.1070535895
698	0.9373481146	0.1069887498
699	0.937577689	0.1068924681
700	0.9376301567	0.1068027477
701	0.9376934656	0.1067076452
702	0.9378149124	0.1065758333
703	0.9378586687	0.106501585
704	0.9379157168	0.1064183259
705	0.9380236517	0.1062895921
706	0.9380805659	0.1062020571
707	0.9381685011	0.1060971821
708	0.9382491342	0.1060015563
709	0.9382848384	0.1059282738
710	0.9383461979	0.1058350861
711	0.9384713624	0.1056994164
712	0.9385154996	0.1056235623
713	0.9385311077	0.1055921666
714	0.9385875496	0.1054935302
715	0.938642397	0.1054151916
716	0.9386882004	0.1053190298
717	0.9387262169	0.1052389225
718	0.9388521591	0.105085623
719	0.9388906139	0.1050168699
720	0.9389161461	0.1049565611
721	0.9389758481	0.1048592232
722	0.9389975282	0.1048119903
723	0.9390485015	0.1047130345
724	0.93909664	0.1046306179
725	0.9391319443	0.1045496832
726	0.9391520921	0.1045013997
727	0.9391825248	0.1044320088
728	0.9392125796	0.1043746541
729	0.9392634578	0.1042872895
730	0.9393149631	0.1042018552
731	0.9394107717	0.1040855617
732	0.9394740587	0.1039891781
733	0.9395342014	0.1038736466
734	0.9395675654	0.1037972033
735	0.9396652067	0.1037049157
736	0.9397827646	0.1035877996
737	0.9398118078	0.1035344234
738	0.9398645014	0.1034380807
739	0.9399184696	0.1033310919
740	0.940089395	0.1031222593
741	0.9401330058	0.1030322608
742	0.940189661	0.1029341144
743	0.9402868082	0.1028065618
744	0.9403418219	0.1027252241
745	0.9403640723	0.1026600994
746	0.9403984755	0.1025891217
747	0.9404647085	0.1025059297
748	0.940540653	0.1023907601
749	0.9406334264	0.1022738816
750	0.9406822514	0.1021845943
751	0.9406934401	0.1021511287
752	0.9407424294	0.1020356625
753	0.9407957592	0.101953202
754	0.9408301331	0.101887642
755	0.9408628322	0.1018141006
756	0.940950958	0.1017048648
757	0.9410004248	0.1016146806
758	0.9411178793	0.1015097851
759	0.9411513776	0.1014295237
760	0.9412804885	0.1013180926
761	0.9415479128	0.101166509
762	0.9416212388	0.1010596908
763	0.9417050264	0.1009337246
764	0.941741036	0.1008529653
765	0.9417633752	0.1007978061
766	0.9418370402	0.1006816972
767	0.9418652008	0.1006055811
768	0.9419503711	0.1004981831
769	0.9420030016	0.1004075038
770	0.9420627979	0.1003053645
771	0.9421033435	0.1002631758
772	0.9421471489	0.1001906715
773	0.9422446701	0.1000778924
774	0.9422796357	0.1000050872
775	0.9423181027	0.09993848738
776	0.9425030073	0.09980147451
777	0.9425728764	0.09968290564
778	0.9427383776	0.09952521382
779	0.9429095539	0.09935692439
780	0.9429689513	0.09928381605
781	0.9430895937	0.09918700995
782	0.9431176624	0.09912112184
783	0.9432117657	0.09897892855
784	0.9433537191	0.09886018897
785	0.9434475198	0.09873605409
786	0.9435165478	0.09863607693
787	0.9435727643	0.09852781158
788	0.9437686389	0.09847875829
789	0.9437916844	0.09843013362
790	0.9438170026	0.09836560975
791	0.9438994919	0.0982459308
792	0.9439410685	0.0981674328
793	0.9439716049	0.09809586949
794	0.9440673358	0.09798892892
795	0.9441665642	0.0978494482
796	0.9442300599	0.0977503834
797	0.9442492725	0.09770760556
798	0.9443136053	0.09760660578
799	0.9443480252	0.09753063023
800	0.9445491271	0.09747176079
801	0.9445970946	0.09739344149
802	0.9446103593	0.09735655277
803	0.9446308398	0.09731505891
804	0.9446682529	0.09723384568
805	0.9446898592	0.09717484893
806	0.944718987	0.09712081889
807	0.9447723153	0.09703549299
808	0.9448001849	0.09696993445
809	0.9448661025	0.09690050868
810	0.9449226494	0.09680710932
811	0.9449845856	0.09672943171
812	0.9450134833	0.09667187262
813	0.9451183316	0.09655189661
814	0.9451347458	0.09650617545
815	0.9451858177	0.09641502362
816	0.9452190731	0.09634836147
817	0.9452625342	0.0962659607
818	0.9452935397	0.09620857773
819	0.9453565151	0.09611076554
820	0.9454281021	0.09600640811
821	0.9454820743	0.09593402994
822	0.9455256187	0.09585749525
823	0.9455303244	0.09582537341
824	0.9456343651	0.09569697511
825	0.9456695946	0.09562908287
826	0.9457126559	0.09556686206
827	0.9457493687	0.09549647247
828	0.9457810303	0.09543527623
829	0.9458461193	0.09533454053
830	0.9459058062	0.09524051564
831	0.945930551	0.0951860691
832	0.9459953136	0.09512847062
833	0.9461057967	0.09501696674
834	0.9461558672	0.09491869855
835	0.9461956522	0.09485502232
836	0.9462319924	0.09478297134
837	0.9462515477	0.09473549563
838	0.9462895359	0.09465775039
839	0.9463675984	0.09454236556
840	0.9463999888	0.09448406495
841	0.9464544689	0.09441750711
842	0.9464772664	0.09436333391
843	0.9465063959	0.09429681347
844	0.9465339213	0.09423961685
845	0.9465796184	0.09416522003
846	0.9466176678	0.09410004745
847	0.9466347422	0.09406695326
848	0.9467119848	0.09398346362
849	0.9467737101	0.09389131599
850	0.9467896592	0.09383937361
851	0.9468337452	0.09376150584
852	0.9468948505	0.09364927191
853	0.9469290679	0.0935760629
854	0.9469915259	0.09347007924
855	0.9470092578	0.09342328621
856	0.9471206766	0.09334868622
857	0.9471561985	0.09327774912
858	0.9471905791	0.09322784982
859	0.9472203731	0.09315482354
860	0.9472700476	0.09308538367
861	0.9473690315	0.09299732591
862	0.9473906345	0.09294573584
863	0.9475010503	0.09283986156
864	0.9475276301	0.09278737825
865	0.9475568339	0.09273717449
866	0.9475913418	0.09264599364
867	0.9476397982	0.09256642572
868	0.9476631397	0.09250935398
869	0.9476830166	0.09247560618
870	0.947716008	0.09241778315
871	0.9477427388	0.09236878035
872	0.9477822044	0.09230649565
873	0.9478340144	0.09223579713
874	0.9478819945	0.09215119884
875	0.9479100772	0.092076168
876	0.9479575366	0.09199681289
877	0.9479953374	0.09193217792
878	0.9481105606	0.09183127522
879	0.9481246371	0.09179663839
880	0.9481456771	0.09175748404
881	0.948179882	0.09168356108
